Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
release-youtube-links_x0_25;28945;28945;115666;16;1.05;14497.0;15119.0;18764.0;15346.0
release-youtube-links_x0_25;28945;28945;115666;16;1.1;14629.0;15135.0;18648.0;15144.0
release-youtube-links_x0_25;28945;28945;115666;2;1.03;8729.0;8520.0;8274.0;9513.0
release-youtube-links_x0_25;28945;28945;115666;2;1.05;8081.0;8272.0;8165.0;9528.0
release-youtube-links_x0_25;28945;28945;115666;2;1.1;7590.0;7743.0;7586.0;9577.0
release-youtube-links_x0_25;28945;28945;115666;32;1.03;15287.0;15793.0;20504.0;15815.0
release-youtube-links_x0_25;28945;28945;115666;32;1.05;15216.0;15841.0;20459.0;15825.0
release-youtube-links_x0_25;28945;28945;115666;32;1.1;15245.0;15914.0;20349.0;15765.0
release-youtube-links_x0_25;28945;28945;115666;4;1.03;11481.0;12199.0;13287.0;12426.0
release-youtube-links_x0_25;28945;28945;115666;4;1.05;11413.0;12242.0;12968.0;12640.0
release-youtube-links_x0_25;28945;28945;115666;4;1.1;11646.0;12126.0;12937.0;13000.0
release-youtube-links_x0_25;28945;28945;115666;64;1.03;15732.0;16366.0;21663.0;16910.0
release-youtube-links_x0_25;28945;28945;115666;64;1.05;15740.0;16344.0;21705.0;16916.0
release-youtube-links_x0_25;28945;28945;115666;64;1.1;15806.0;16406.0;21829.0;16916.0
release-youtube-links_x0_25;28945;28945;115666;8;1.03;13349.0;13975.0;16502.0;14063.0
release-youtube-links_x0_25;28945;28945;115666;8;1.05;13327.0;14036.0;16470.0;13993.0
release-youtube-links_x0_25;28945;28945;115666;8;1.1;13444.0;14038.0;16347.0;14698.0
release-youtube-links_x0_50;57891;57891;231484;128;1.03;32065.0;33230.0;45396.0;34110.0
release-youtube-links_x0_50;57891;57891;231484;128;1.05;32011.0;33292.0;45476.0;34259.0
release-youtube-links_x0_50;57891;57891;231484;128;1.1;32322.0;33430.0;45190.0;34185.0
release-youtube-links_x0_50;57891;57891;231484;16;1.03;29078.0;30239.0;37876.0;30236.0
release-youtube-links_x0_50;57891;57891;231484;16;1.05;29020.0;30270.0;37736.0;30579.0
release-youtube-links_x0_50;57891;57891;231484;16;1.1;29164.0;30198.0;37700.0;29952.0
release-youtube-links_x0_50;57891;57891;231484;2;1.03;17777.0;17236.0;18343.0;19043.0
release-youtube-links_x0_50;57891;57891;231484;2;1.05;16673.0;16838.0;17300.0;19037.0
release-youtube-links_x0_50;57891;57891;231484;2;1.1;15433.0;15684.0;15868.0;19453.0
release-youtube-links_x0_50;57891;57891;231484;32;1.03;30421.0;31670.0;41048.0;31029.0
release-youtube-links_x0_50;57891;57891;231484;32;1.05;30381.0;31661.0;40967.0;31059.0
release-youtube-links_x0_50;57891;57891;231484;32;1.1;30540.0;31704.0;40938.0;31212.0
release-youtube-links_x0_50;57891;57891;231484;4;1.03;22998.0;24547.0;27404.0;25044.0
release-youtube-links_x0_50;57891;57891;231484;4;1.05;22831.0;24602.0;26904.0;25385.0
release-youtube-links_x0_50;57891;57891;231484;4;1.1;23415.0;24435.0;25837.0;26098.0
release-youtube-links_x0_50;57891;57891;231484;64;1.03;31351.0;32446.0;43473.0;32311.0
release-youtube-links_x0_50;57891;57891;231484;64;1.05;31351.0;32598.0;43433.0;32286.0
release-youtube-links_x0_50;57891;57891;231484;64;1.1;31518.0;32631.0;43480.0;32388.0
release-youtube-links_x0_50;57891;57891;231484;8;1.03;26783.0;28072.0;33421.0;28302.0
release-youtube-links_x0_50;57891;57891;231484;8;1.05;26685.0;28160.0;33349.0;28845.0
release-youtube-links_x0_50;57891;57891;231484;8;1.1;26913.0;27937.0;33087.0;28579.0
youtube;94238;30087;293360;128;1.03;8280.0;8585.0;10827.0;8902.0
youtube;94238;30087;293360;128;1.05;8307.0;8623.0;10827.0;8797.0
youtube;94238;30087;293360;128;1.1;8201.0;8530.0;10851.0;8752.0
